"Time","Bench","BenchParams","Method","AccuracyTarget(bits)","Accuracy(bits)","UTime(s)"
"Thu 29 Jul 23:43:25 BST 2021","realmax",1000000,"E",,1028466,18.12
"Thu 29 Jul 23:43:41 BST 2021","realmax",1000000,"E",,1028466,16.75
"Thu 29 Jul 23:43:56 BST 2021","realmax",1000000,"E",,1028466,16.79
"Thu 29 Jul 23:44:12 BST 2021","realmax",1000000,"E",,1028466,16.81
"Thu 29 Jul 23:44:32 BST 2021","realmax",1000000,"E",,1028466,21.79
"Thu 29 Jul 23:44:44 BST 2021","realmax",1000000,"E",,1028466,13.15
"Thu 29 Jul 23:45:01 BST 2021","realmax",1000000,"E",,1028466,17.6
"Thu 29 Jul 23:45:15 BST 2021","realmax",1000000,"E",,1028466,15.05
"Thu 29 Jul 23:45:31 BST 2021","realmax",1000000,"E",,1028466,17.06
"Thu 29 Jul 23:45:45 BST 2021","realmax",1000000,"E",,1028466,15.06
"Thu 29 Jul 23:45:56 BST 2021","realmax",1000000,"H",,1028466,11.99
"Thu 29 Jul 23:46:12 BST 2021","realmax",1000000,"H",,1028466,18.75
"Thu 29 Jul 23:46:28 BST 2021","realmax",1000000,"H",,1028466,17.56
"Thu 29 Jul 23:46:43 BST 2021","realmax",1000000,"H",,1028466,16.74
"Thu 29 Jul 23:46:57 BST 2021","realmax",1000000,"H",,1028466,14.78
"Thu 29 Jul 23:47:12 BST 2021","realmax",1000000,"H",,1028466,16.59
"Thu 29 Jul 23:47:28 BST 2021","realmax",1000000,"H",,1028466,16.4
"Thu 29 Jul 23:47:43 BST 2021","realmax",1000000,"H",,1028466,16.48
"Thu 29 Jul 23:47:59 BST 2021","realmax",1000000,"H",,1028466,16.91
"Thu 29 Jul 23:48:14 BST 2021","realmax",1000000,"H",,1028466,16.54
"Thu 29 Jul 23:48:18 BST 2021","realmax",1000000,"N",,1028468,3.88
"Thu 29 Jul 23:48:22 BST 2021","realmax",1000000,"N",,1028468,4.49
"Thu 29 Jul 23:48:26 BST 2021","realmax",1000000,"N",,1028468,4.34
"Thu 29 Jul 23:48:29 BST 2021","realmax",1000000,"N",,1028468,4.11
"Thu 29 Jul 23:48:33 BST 2021","realmax",1000000,"N",,1028468,4.16
"Thu 29 Jul 23:48:37 BST 2021","realmax",1000000,"N",,1028468,4.41
"Thu 29 Jul 23:48:40 BST 2021","realmax",1000000,"N",,1028468,3.87
"Thu 29 Jul 23:48:44 BST 2021","realmax",1000000,"N",,1028468,4
"Thu 29 Jul 23:48:47 BST 2021","realmax",1000000,"N",,1028468,4.25
"Thu 29 Jul 23:48:51 BST 2021","realmax",1000000,"N",,1028468,4.32
"Thu 29 Jul 23:48:52 BST 2021","sqrt1",1000000,"E",,1028462,0.68
"Thu 29 Jul 23:48:52 BST 2021","sqrt1",1000000,"E",,1028462,0.67
"Thu 29 Jul 23:48:53 BST 2021","sqrt1",1000000,"E",,1028462,0.73
"Thu 29 Jul 23:48:54 BST 2021","sqrt1",1000000,"E",,1028462,0.67
"Thu 29 Jul 23:48:54 BST 2021","sqrt1",1000000,"E",,1028462,0.74
"Thu 29 Jul 23:48:55 BST 2021","sqrt1",1000000,"E",,1028462,0.74
"Thu 29 Jul 23:48:56 BST 2021","sqrt1",1000000,"E",,1028462,0.72
"Thu 29 Jul 23:48:56 BST 2021","sqrt1",1000000,"E",,1028462,0.86
"Thu 29 Jul 23:48:57 BST 2021","sqrt1",1000000,"E",,1028462,0.72
"Thu 29 Jul 23:48:58 BST 2021","sqrt1",1000000,"E",,1028462,0.69
"Thu 29 Jul 23:48:58 BST 2021","sqrt1",1000000,"H",,1028462,0.79
"Thu 29 Jul 23:48:59 BST 2021","sqrt1",1000000,"H",,1028462,0.66
"Thu 29 Jul 23:49:00 BST 2021","sqrt1",1000000,"H",,1028462,0.72
"Thu 29 Jul 23:49:00 BST 2021","sqrt1",1000000,"H",,1028462,0.75
"Thu 29 Jul 23:49:01 BST 2021","sqrt1",1000000,"H",,1028462,0.75
"Thu 29 Jul 23:49:02 BST 2021","sqrt1",1000000,"H",,1028462,0.71
"Thu 29 Jul 23:49:02 BST 2021","sqrt1",1000000,"H",,1028462,0.74
"Thu 29 Jul 23:49:03 BST 2021","sqrt1",1000000,"H",,1028462,0.65
"Thu 29 Jul 23:49:04 BST 2021","sqrt1",1000000,"H",,1028462,0.64
"Thu 29 Jul 23:49:04 BST 2021","sqrt1",1000000,"H",,1028462,0.79
"Thu 29 Jul 23:49:05 BST 2021","sqrt1",1000000,"N",,2056937,0.87
"Thu 29 Jul 23:49:06 BST 2021","sqrt1",1000000,"N",,2056937,0.91
"Thu 29 Jul 23:49:07 BST 2021","sqrt1",1000000,"N",,2056937,0.76
"Thu 29 Jul 23:49:08 BST 2021","sqrt1",1000000,"N",,2056937,0.85
"Thu 29 Jul 23:49:08 BST 2021","sqrt1",1000000,"N",,2056937,0.87
"Thu 29 Jul 23:49:09 BST 2021","sqrt1",1000000,"N",,2056937,0.9
"Thu 29 Jul 23:49:10 BST 2021","sqrt1",1000000,"N",,2056937,0.93
"Thu 29 Jul 23:49:11 BST 2021","sqrt1",1000000,"N",,2056937,0.84
"Thu 29 Jul 23:49:12 BST 2021","sqrt1",1000000,"N",,2056937,0.84
"Thu 29 Jul 23:49:12 BST 2021","sqrt1",1000000,"N",,2056937,0.82
"Thu 29 Jul 23:49:14 BST 2021","sqrt2",1000000,"E",,1028459,1.55
"Thu 29 Jul 23:49:15 BST 2021","sqrt2",1000000,"E",,1028459,1.48
"Thu 29 Jul 23:49:16 BST 2021","sqrt2",1000000,"E",,1028459,1.52
"Thu 29 Jul 23:49:18 BST 2021","sqrt2",1000000,"E",,1028459,1.47
"Thu 29 Jul 23:49:19 BST 2021","sqrt2",1000000,"E",,1028459,1.61
"Thu 29 Jul 23:49:20 BST 2021","sqrt2",1000000,"E",,1028459,1.51
"Thu 29 Jul 23:49:22 BST 2021","sqrt2",1000000,"E",,1028459,1.47
"Thu 29 Jul 23:49:23 BST 2021","sqrt2",1000000,"E",,1028459,1.57
"Thu 29 Jul 23:49:25 BST 2021","sqrt2",1000000,"E",,1028459,1.53
"Thu 29 Jul 23:49:26 BST 2021","sqrt2",1000000,"E",,1028459,1.42
"Thu 29 Jul 23:49:27 BST 2021","sqrt2",1000000,"H",,1028459,1.57
"Thu 29 Jul 23:49:29 BST 2021","sqrt2",1000000,"H",,1028459,1.51
"Thu 29 Jul 23:49:30 BST 2021","sqrt2",1000000,"H",,1028459,1.57
"Thu 29 Jul 23:49:31 BST 2021","sqrt2",1000000,"H",,1028459,1.45
"Thu 29 Jul 23:49:33 BST 2021","sqrt2",1000000,"H",,1028459,1.58
"Thu 29 Jul 23:49:34 BST 2021","sqrt2",1000000,"H",,1028459,1.59
"Thu 29 Jul 23:49:35 BST 2021","sqrt2",1000000,"H",,1028459,1.57
"Thu 29 Jul 23:49:37 BST 2021","sqrt2",1000000,"H",,1028459,1.46
"Thu 29 Jul 23:49:38 BST 2021","sqrt2",1000000,"H",,1028459,1.66
"Thu 29 Jul 23:49:39 BST 2021","sqrt2",1000000,"H",,1028459,1.48
"Thu 29 Jul 23:49:43 BST 2021","sqrt2",1000000,"N",,2056938,3.48
"Thu 29 Jul 23:49:46 BST 2021","sqrt2",1000000,"N",,2056938,3.66
"Thu 29 Jul 23:49:49 BST 2021","sqrt2",1000000,"N",,2056938,3.56
"Thu 29 Jul 23:49:53 BST 2021","sqrt2",1000000,"N",,2056938,3.58
"Thu 29 Jul 23:49:56 BST 2021","sqrt2",1000000,"N",,2056938,3.59
"Thu 29 Jul 23:50:00 BST 2021","sqrt2",1000000,"N",,2056938,3.55
"Thu 29 Jul 23:50:03 BST 2021","sqrt2",1000000,"N",,2056938,3.8
"Thu 29 Jul 23:50:06 BST 2021","sqrt2",1000000,"N",,2056938,3.63
"Thu 29 Jul 23:50:10 BST 2021","sqrt2",1000000,"N",,2056938,3.57
"Thu 29 Jul 23:50:13 BST 2021","sqrt2",1000000,"N",,2056938,3.46
"Thu 29 Jul 23:50:15 BST 2021","civt1",1100,"E",,1219,3.35
"Thu 29 Jul 23:50:17 BST 2021","civt1",1100,"E",,1219,3.36
"Thu 29 Jul 23:50:19 BST 2021","civt1",1100,"E",,1219,3.42
"Thu 29 Jul 23:50:21 BST 2021","civt1",1100,"E",,1219,3.65
"Thu 29 Jul 23:50:23 BST 2021","civt1",1100,"E",,1219,3.67
"Thu 29 Jul 23:50:26 BST 2021","civt1",1100,"E",,1219,3.45
"Thu 29 Jul 23:50:28 BST 2021","civt1",1100,"E",,1219,4.14
"Thu 29 Jul 23:50:30 BST 2021","civt1",1100,"E",,1219,3.48
"Thu 29 Jul 23:50:32 BST 2021","civt1",1100,"E",,1219,3.79
"Thu 29 Jul 23:50:34 BST 2021","civt1",1100,"E",,1219,3.39
"Thu 29 Jul 23:50:35 BST 2021","civt1",1100,"H",,1219,2.31
"Thu 29 Jul 23:50:37 BST 2021","civt1",1100,"H",,1219,2.36
"Thu 29 Jul 23:50:38 BST 2021","civt1",1100,"H",,1219,2.3
"Thu 29 Jul 23:50:39 BST 2021","civt1",1100,"H",,1219,2.19
"Thu 29 Jul 23:50:41 BST 2021","civt1",1100,"H",,1219,2.56
"Thu 29 Jul 23:50:42 BST 2021","civt1",1100,"H",,1219,2.29
"Thu 29 Jul 23:50:43 BST 2021","civt1",1100,"H",,1219,2.55
"Thu 29 Jul 23:50:45 BST 2021","civt1",1100,"H",,1219,2.05
"Thu 29 Jul 23:50:46 BST 2021","civt1",1100,"H",,1219,2.27
"Thu 29 Jul 23:50:47 BST 2021","civt1",1100,"H",,1219,2.17
"Fri 30 Jul 00:00:26 BST 2021","civt2",1100,"E",,1220,4.43
"Fri 30 Jul 00:00:29 BST 2021","civt2",1100,"E",,1220,4.09
"Fri 30 Jul 00:00:31 BST 2021","civt2",1100,"E",,1220,4.74
"Fri 30 Jul 00:00:34 BST 2021","civt2",1100,"E",,1220,4.06
"Fri 30 Jul 00:00:36 BST 2021","civt2",1100,"E",,1220,4.38
"Fri 30 Jul 00:00:39 BST 2021","civt2",1100,"E",,1220,4.42
"Fri 30 Jul 00:00:42 BST 2021","civt2",1100,"E",,1220,4.43
"Fri 30 Jul 00:00:44 BST 2021","civt2",1100,"E",,1220,4
"Fri 30 Jul 00:00:47 BST 2021","civt2",1100,"E",,1220,4.19
"Fri 30 Jul 00:00:49 BST 2021","civt2",1100,"E",,1220,4.31
"Fri 30 Jul 00:00:51 BST 2021","civt2",1100,"H",,1220,2.94
"Fri 30 Jul 00:00:53 BST 2021","civt2",1100,"H",,1220,2.88
"Fri 30 Jul 00:00:55 BST 2021","civt2",1100,"H",,1220,3.07
"Fri 30 Jul 00:00:57 BST 2021","civt2",1100,"H",,1220,3.11
"Fri 30 Jul 00:00:58 BST 2021","civt2",1100,"H",,1220,3.2
"Fri 30 Jul 00:01:00 BST 2021","civt2",1100,"H",,1220,2.97
"Fri 30 Jul 00:01:02 BST 2021","civt2",1100,"H",,1220,3.06
"Fri 30 Jul 00:01:04 BST 2021","civt2",1100,"H",,1220,2.9
"Fri 30 Jul 00:01:06 BST 2021","civt2",1100,"H",,1220,3.45
"Fri 30 Jul 00:01:07 BST 2021","civt2",1100,"H",,1220,3.18
"Fri 30 Jul 00:01:19 BST 2021","civt3",1100,"E",,1219,19.61
"Fri 30 Jul 00:01:31 BST 2021","civt3",1100,"E",,1219,19.54
"Fri 30 Jul 00:01:43 BST 2021","civt3",1100,"E",,1219,19.26
"Fri 30 Jul 00:01:54 BST 2021","civt3",1100,"E",,1219,19.41
"Fri 30 Jul 00:02:06 BST 2021","civt3",1100,"E",,1219,19.06
"Fri 30 Jul 00:02:18 BST 2021","civt3",1100,"E",,1219,20.3
"Fri 30 Jul 00:02:30 BST 2021","civt3",1100,"E",,1219,18.59
"Fri 30 Jul 00:02:42 BST 2021","civt3",1100,"E",,1219,19.41
"Fri 30 Jul 00:02:53 BST 2021","civt3",1100,"E",,1219,18.74
"Fri 30 Jul 00:03:05 BST 2021","civt3",1100,"E",,1219,19.72
"Fri 30 Jul 00:03:16 BST 2021","civt3",1100,"H",,1219,18.47
"Fri 30 Jul 00:03:26 BST 2021","civt3",1100,"H",,1219,17.51
"Fri 30 Jul 00:03:37 BST 2021","civt3",1100,"H",,1219,17.78
"Fri 30 Jul 00:03:48 BST 2021","civt3",1100,"H",,1219,17.18
"Fri 30 Jul 00:03:59 BST 2021","civt3",1100,"H",,1219,18.05
"Fri 30 Jul 00:04:09 BST 2021","civt3",1100,"H",,1219,17.03
"Fri 30 Jul 00:04:20 BST 2021","civt3",1100,"H",,1219,17.8
"Fri 30 Jul 00:04:31 BST 2021","civt3",1100,"H",,1219,17.73
"Fri 30 Jul 00:04:42 BST 2021","civt3",1100,"H",,1219,18.42
"Fri 30 Jul 00:04:53 BST 2021","civt3",1100,"H",,1219,17.77
